"input_name","expected_name","expected_ticker"

"Federated University","Federated University Police Officer's Association",""
"Retail Delivery","Retail Delivery Drivers Local 2785",""
"Ohana Eye","Ohana Eye Center Inc",""
"CMR Financial","CMR Financial Advisors, Inc.",""
"Marin Association","Marin Association of Public Employees",""
"Alameda Police","Alameda Police Officers' Association",""
"Karen Temple","Karen Temple, Attorney at Law, LLLC",""
"Northern Lights","Northern Lights Eye Care",""
"Lott Law","Lott Law Offices a Professional Law Corporation",""
"Melissa Parkin","Melissa Parkin and Drew Parkin (DBA) Parkins' OC Bowling Supply",""
"Traci L.","Traci L. Schmalle, OD, LLC",""
"Los Angeles","Los Angeles Airport Peace Officers Association",""
"Rebecca L","Rebecca L Cabatbat, O.D., Inc",""
"Colleen M.","Colleen M. Ichiyama-Kong O.D., LLC",""
"Dr. Ken","Dr. Ken Sakuda",""
"Medical Doctors","Medical Doctors Imaging Inc",""
"Teamsters Local","Teamsters Local Union #856",""
"ABS Products","ABS Products Inc.",""
"Hawaii Carpenters","Hawaii Carpenters Market Recovery Fund (DBA) The Pacific Resource Partnership",""
"Business Administration","Business Administration Consultants",""
"Robert R","Robert R Lai, CPA Inc",""
"Alameda Deputy","Alameda Deputy Sheriff's Association",""
"Sacramento Police","Sacramento Police Officers Association",""
"Nelson O.","Nelson O. Yoshioka Jr. O.D., Inc.",""
"United Public","United Public Employees Of California Local 792",""
"Strong Holdings","Strong Holdings Inc (DBA) Keller Williams Westland Realty",""
"Starr Property","Starr Property Management LLC",""
"The Williams","The Williams Survivor's Trust",""
"Chauffeurs, Teamsters","Chauffeurs, Teamsters and Helpers Local Union #150",""
"Coghill Group","Coghill Group PC",""
"Carmel Classics","Carmel Classics Inc; Cannery Row Classics (DBA) Carmel Classics",""
"Hawaii Engineering","Hawaii Engineering Group, Inc.",""
"MJC International","MJC International Group LLC",""
"San Francisco","San Francisco Deputy Sheriffs' Association",""
"U.A. Local","U.A. Local No. 442",""
"San Mateo","San Mateo Police Officers Association",""
"Tyrell Law","Tyrell Law, PLLC",""
"IBEW Local","IBEW Local Union No. 413",""
"TNWRE, Inc.","TNWRE, Inc. (DBA) Tom Nance Water  Resource Engineering",""
"Jamir LLC","Jamir LLC",""
"Regional Radiological","Regional Radiological Associates , Inc",""
"Windward Vision","Windward Vision Center Associates, Inc.",""
"International Moulders","International Moulders Ltd",""
"Looney & ","Looney & Associates, LLC",""
"Mechanical Enterprises","Mechanical Enterprises, Inc.",""
"Mon Roc","Mon Roc Administrators, LLC",""
"Hotel Union","Hotel Union and Hotel Industry of Hawaii 401(K) Retirement Savings Trust Fund",""
"California Teachers","California Teachers Association Employees' Retirement Benefit Plan",""
"Furman & ","Furman & Hauswirth",""
"IBEW Local","IBEW Local Union 234",""
"Ansel Adams","Ansel Adams Family Trust and William & Mary Shaw Trust (DBA) Enterprise Cannery",""
"Oregon & ","Oregon & Southern Idaho District Council Of Laborers",""
"Rob's Electric","Rob's Electric Inc",""
"Utility Professional","Utility Professional Services, Inc.",""
"Pro Engineers","Pro Engineers Group",""
"Quality Insurance","Quality Insurance Administration Services, LLC",""
"National Association","National Association Of Credit Management of Florida",""
"The Laurel","The Laurel Avenue Trust",""
